season,episode,name,lines,,,,
1,1,Jim,36,,,,
1,1,Michael,82,,,,
1,1,Pam,40,,,,
1,1,Dwight,29,,,,
1,1,Jan,12,,,,
1,1,Todd Packer,3,,,,
1,1,Phyllis,2,,,,
1,1,Stanley,5,,,,
1,1,Oscar,3,,,,
1,1,Angela,1,,,,
1,1,Kevin,1,,,,
1,1,Ryan,8,,,,
1,1,Man,1,,,,
1,1,Roy,5,,,,
1,2,Michael,75,,,,
1,2,Mr. Brown,36,,,,
1,2,Jim,25,,,,
1,2,Dwight,17,,,,
1,2,Pam,12,,,,
1,2,Oscar,13,,,,
1,2,Kevin,8,,,,
1,2,Toby,2,,,,
1,2,Kelly,2,,,,
1,2,Stanley,5,,,,
1,2,Ryan,4,,,,
1,2,Angela,4,,,,
1,3,Michael,55,,,,
1,3,Pam,32,,,,
1,3,Jan,18,,,,
1,3,Jim,42,,,,
1,3,Dwight,62,,,,
1,3,Stanley,6,,,,
1,3,Oscar,9,,,,
1,3,Kevin,6,,,,
1,3,Angela,5,,,,
1,3,Meredith,3,,,,
1,3,Travel Agent,1,,,,
1,3,Man on Phone,3,,,,
1,3,Ryan,1,,,,
1,4,Dwight,47,,,,
1,4,Michael,68,,,,
1,4,Stanley,2,,,,
1,4,Pam,22,,,,
1,4,Phyllis,5,,,,
1,4,Angela,7,,,,
1,4,Jim,49,,,,
1,4,Kevin,3,,,,
1,4,Toby,4,,,,
1,4,Oscar,14,,,,
1,4,Ryan,4,,,,
1,4,Everybody,5,,,,
1,4,Meredith,10,,,,
1,4,Roy,3,,,,
1,5,Michael,104,,,,
1,5,Dwight,25,,,,
1,5,Jim,21,,,,
1,5,Phyllis,4,,,,
1,5,Pam,14,,,,
1,5,Ryan,8,,,,
1,5,Lonny,5,,,,
1,5,Darryl,15,,,,
1,5,Everybody,1,,,,
1,5,Stanley,3,,,,
1,5,Oscar,2,,,,
1,5,Kevin,1,,,,
1,5,Angela,3,,,,
1,5,Roy,12,,,,
1,5,Teammates,1,,,,
1,5,Michael and Dwight,1,,,,
1,5,Warehouse worker,2,,,,
1,5,Madge,3,,,,
1,5,Worker,5,,,,
1,6,Jan,8,,,,
1,6,Michael,106,,,,
1,6,Dwight,28,,,,
1,6,Pam,42,,,,
1,6,Katy,58,,,,
1,6,Kevin,4,,,,
1,6,Ryan,12,,,,
1,6,Oscar,1,,,,
1,6,Toby,6,,,,
1,6,Roy,14,,,,
1,6,Jim,55,,,,
1,6,Stanley,3,,,,
1,6,Angela,3,,,,
2,1,Michael,96,,,,
2,1,Jim,32,,,,
2,1,Pam,40,,,,
2,1,Dwight,32,,,,
2,1,Stanley,8,,,,
2,1,Oscar,2,,,,
2,1,Kelly,7,,,,
2,1,Phyllis,10,,,,
2,1,Jan,9,,,,
2,1,Roy,6,,,,
2,1,Kevin,1,,,,
2,1,Darryl,1,,,,
2,1,Ryan,2,,,,
2,1,Angela,1,,,,
2,1,Guy at bar,1,,,,
2,1,Other Guy at Bar,1,,,,
2,1,Guy At Bar,2,,,,
