season,episode,title,scene,speaker,line,
1,1,Pilot,1,Michael,All right Jim. Your quarterlies look very good. How are things at the library?,
1,1,Pilot,1,Jim,"Oh, I told you. I couldn't close it. So...",
1,1,Pilot,1,Michael,"So you've come to the master for guidance? Is this what you're saying, grasshopper?",
1,1,Pilot,1,Jim,"Actually, you called me in here, but yeah.",
1,1,Pilot,1,Michael,"All right. Well, let me show you how it's done.",
1,1,Pilot,2,Michael," Yes, I'd like to speak to your office manager, please. Yes, hello. This is Michael Scott. I am the Regional Manager of Dunder Mifflin Paper Products. Just wanted to talk to you manager-a-manger.  All right. Done deal. Thank you very much, sir. You're a gentleman and a scholar. Oh, I'm sorry. OK. I'm sorry. My mistake.  That was a woman I was talking to, so... She had a very low voice. Probably a smoker, so...  So that's the way it's done.",
1,1,Pilot,3,Michael,"I've, uh, I've been at Dunder Mifflin for 12 years, the last four as Regional Manager. If you want to come through here... See we have the entire floor. So this is my kingdom, as far as the eye can see. This is our receptionist, Pam. Pam! Pam-Pam! Pam Beesly. Pam has been with us for... forever. Right, Pam?",
1,1,Pilot,3,Pam,Well. I don't know.,
1,1,Pilot,3,Michael,"If you think she's cute now, you should have seen her a couple of years ago. ",
1,1,Pilot,3,Pam,What?,
1,1,Pilot,3,Michael,Any messages?,
1,1,Pilot,3,Pam,"Uh, yeah. Just a fax.",
1,1,Pilot,3,Michael,"Oh! Pam, this is from Corporate. How many times have I told you? There's a special filing cabinet for things from corporate.",
1,1,Pilot,3,Pam,You haven't told me.,
1,1,Pilot,3,Michael,It's called the wastepaper basket! Look at that! Look at that face.,
1,1,Pilot,4,Michael,"People say I am the best boss. They go, ""God we've never worked in a place like this before. You're hilarious."" ""And you get the best out of us.""  I think that pretty much sums it up. I found it at Spencer Gifts.",
1,1,Pilot,5,Dwight, Shall I play for you? Pa rum pump um pum  I have no gifts for you. Pa rum pump um pum ,
1,1,Pilot,6,Jim,"My job is to speak to clients on the phone about... uh, quantities and type of copier paper. You know, whether we can supply it to them. Whether they can pay for it. And... I'm boring myself just talking about this.",
1,1,Pilot,7,Michael,Whassup!,
1,1,Pilot,7,Jim,Whassup! I still love that after seven years.,
1,1,Pilot,7,Michael,Whassup!,
1,1,Pilot,7,Dwight,Whassup!,
1,1,Pilot,7,Michael,Whass...up!,
1,1,Pilot,7,Dwight,Whassup.,
1,1,Pilot,7,Michael, What?,
1,1,Pilot,7,Jim,Nothing.,
1,1,Pilot,7,Michael,OK. All right. See you later.,
1,1,Pilot,7,Jim,All right. Take care.,
1,1,Pilot,7,Michael,Back to work.,
1,1,Pilot,8,Jan, Just before lunch. That would be great.,
1,1,Pilot,9,Michael,"Corporate really doesn't really interfere with me at all. Jan Levinson Gould.  Jan, hello. I call her Hillary Rodham Clinton. Right? Not to her face, because... well, not because I'm scared of her. Because I'm not. But, um... Yeah.",
1,1,Pilot,10,Jan,"Alright, was there anything you wanted to add to the agenda?",
1,1,Pilot,10,Michael,Um... Me no get an agenda.,
1,1,Pilot,10,Jan,What? I'm sorry?,
1,1,Pilot,10,Michael,I didn't get any agenda.,
1,1,Pilot,10,Jan,"Well, I faxed one over to you this morning.",
1,1,Pilot,10,Michael,Really? I didn't...  Did we get a fax this morning?,
1,1,Pilot,10,Pam,"Uh, yeah, the one...",
